,event_name,response/left,response/right,stimulus/compatible/target_left,stimulus/compatible/target_right,stimulus/incompatible/target_left,stimulus/incompatible/target_right,stimulus,response,first_stimulus,first_response
688,stimulus/incompatible/target_left,0.4951171875,,,,0.0,,0.0,0.4951171875,incompatible/target_left,left
690,stimulus/compatible/target_left,0.4501953125,,0.0,,,,0.0,0.4501953125,compatible/target_left,left
692,stimulus/compatible/target_left,0.3427734375,,0.0,1.466796875,,,0.0,0.3427734375,compatible/target_left,left
694,stimulus/compatible/target_right,,0.404296875,,0.0,1.3994140625,,0.0,0.404296875,compatible/target_right,right
696,stimulus/incompatible/target_left,0.396484375,,,,0.0,,0.0,0.396484375,incompatible/target_left,left
698,stimulus/incompatible/target_left,0.4814453125,,,,0.0,,0.0,0.4814453125,incompatible/target_left,left
700,stimulus/incompatible/target_left,0.3876953125,,,,0.0,,0.0,0.3876953125,incompatible/target_left,left
702,stimulus/compatible/target_right,,0.390625,,0.0,,,0.0,0.390625,compatible/target_right,right
704,stimulus/compatible/target_right,,0.3076171875,1.44921875,0.0,,,0.0,0.3076171875,compatible/target_right,right
706,stimulus/compatible/target_left,0.4423828125,,0.0,1.466796875,,,0.0,0.4423828125,compatible/target_left,left
708,stimulus/compatible/target_right,,0.3671875,,0.0,,,0.0,0.3671875,compatible/target_right,right
710,stimulus/compatible/target_left,0.4423828125,,0.0,,,1.5,0.0,0.4423828125,compatible/target_left,left
712,stimulus/incompatible/target_right,,0.478515625,,,,0.0,0.0,0.478515625,incompatible/target_right,right
714,stimulus/incompatible/target_left,0.7216796875,,,,0.0,,0.0,0.7216796875,incompatible/target_left,left
716,stimulus/incompatible/target_left,0.4765625,,,,0.0,,0.0,0.4765625,incompatible/target_left,left
718,stimulus/compatible/target_right,,0.4169921875,,0.0,,1.3994140625,0.0,0.4169921875,compatible/target_right,right
720,stimulus/incompatible/target_right,,0.4091796875,,,,0.0,0.0,0.4091796875,incompatible/target_right,right
722,stimulus/incompatible/target_right,,0.439453125,,,,0.0,0.0,0.439453125,incompatible/target_right,right
724,stimulus/compatible/target_left,0.2890625,,0.0,,,,0.0,0.2890625,compatible/target_left,left
726,stimulus/compatible/target_left,0.46484375,,0.0,,,,0.0,0.46484375,compatible/target_left,left
728,stimulus/compatible/target_left,0.376953125,,0.0,1.44921875,,,0.0,0.376953125,compatible/target_left,left
730,stimulus/compatible/target_right,,0.3916015625,,0.0,,,0.0,0.3916015625,compatible/target_right,right
732,stimulus/compatible/target_left,0.4326171875,,0.0,,1.4658203125,,0.0,0.4326171875,compatible/target_left,left
734,stimulus/incompatible/target_left,0.52734375,,,,0.0,,0.0,0.52734375,incompatible/target_left,left
736,stimulus/compatible/target_left,0.41796875,,0.0,,,,0.0,0.41796875,compatible/target_left,left
738,stimulus/compatible/target_left,0.40234375,,0.0,,,,0.0,0.40234375,compatible/target_left,left
740,stimulus/incompatible/target_left,0.5234375,,,,0.0,,0.0,0.5234375,incompatible/target_left,left
742,stimulus/incompatible/target_left,0.427734375,,,,0.0,,0.0,0.427734375,incompatible/target_left,left
744,stimulus/incompatible/target_left,0.533203125,,,,0.0,,0.0,0.533203125,incompatible/target_left,left
746,stimulus/compatible/target_right,,0.478515625,,0.0,1.4990234375,,0.0,0.478515625,compatible/target_right,right
748,stimulus/incompatible/target_left,0.4111328125,,,,0.0,,0.0,0.4111328125,incompatible/target_left,left
750,stimulus/incompatible/target_right,0.2939453125,,,1.482421875,,0.0,0.0,0.2939453125,incompatible/target_right,left
752,stimulus/compatible/target_right,0.443359375,,,0.0,,,0.0,0.443359375,compatible/target_right,left
754,stimulus/compatible/target_right,,0.42578125,,0.0,1.4501953125,,0.0,0.42578125,compatible/target_right,right
756,stimulus/incompatible/target_left,0.53515625,,,,0.0,1.44921875,0.0,0.53515625,incompatible/target_left,left
758,stimulus/incompatible/target_right,0.58203125,,,,1.482421875,0.0,0.0,0.58203125,incompatible/target_right,left
760,stimulus/incompatible/target_left,0.5556640625,,,1.466796875,0.0,,0.0,0.5556640625,incompatible/target_left,left
762,stimulus/compatible/target_right,,0.376953125,,0.0,1.4326171875,,0.0,0.376953125,compatible/target_right,right
764,stimulus/incompatible/target_left,0.5126953125,,1.482421875,,0.0,,0.0,0.5126953125,incompatible/target_left,left
766,stimulus/compatible/target_left,0.3896484375,,0.0,,,,0.0,0.3896484375,compatible/target_left,left
768,stimulus/compatible/target_right,,0.447265625,,0.0,1.4658203125,,0.0,0.447265625,compatible/target_right,right
770,stimulus/incompatible/target_left,0.5810546875,,,1.4833984375,0.0,,0.0,0.5810546875,incompatible/target_left,left
772,stimulus/compatible/target_right,,0.361328125,,0.0,,,0.0,0.361328125,compatible/target_right,right
774,stimulus/compatible/target_right,,0.41015625,,0.0,,1.4658203125,0.0,0.41015625,compatible/target_right,right
776,stimulus/incompatible/target_right,0.400390625,,,,,0.0,0.0,0.400390625,incompatible/target_right,left
778,stimulus/incompatible/target_right,0.3203125,,,,,0.0,0.0,0.3203125,incompatible/target_right,left
780,stimulus/incompatible/target_right,,0.478515625,,,,0.0,0.0,0.478515625,incompatible/target_right,right
782,stimulus/compatible/target_right,,0.3603515625,,0.0,,1.4833984375,0.0,0.3603515625,compatible/target_right,right
784,stimulus/incompatible/target_right,,0.732421875,,,,0.0,0.0,0.732421875,incompatible/target_right,right
786,stimulus/incompatible/target_right,,0.4521484375,,,,0.0,0.0,0.4521484375,incompatible/target_right,right
788,stimulus/compatible/target_right,,0.3974609375,,0.0,,1.4326171875,0.0,0.3974609375,compatible/target_right,right
790,stimulus/incompatible/target_right,,0.548828125,,,,0.0,0.0,0.548828125,incompatible/target_right,right
792,stimulus/compatible/target_left,0.49609375,,0.0,,,,0.0,0.49609375,compatible/target_left,left
794,stimulus/compatible/target_left,,1.4375,0.0,,1.4658203125,,0.0,1.4375,compatible/target_left,right
796,stimulus/incompatible/target_left,0.5478515625,,,,0.0,1.4658203125,0.0,0.5478515625,incompatible/target_left,left
798,stimulus/incompatible/target_right,,0.42578125,1.416015625,,,0.0,0.0,0.42578125,incompatible/target_right,right
800,stimulus/compatible/target_left,0.40234375,,0.0,,,,0.0,0.40234375,compatible/target_left,left
